lng,lat,metro,exit
-77.04331929,38.90868289,Dupont Circle,SE CORNER OF 19TH STREET NW AND DUPONT CIRCLE NW
-77.08576533,38.96045308,Friendship Heights,SW CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW
-76.99504466,38.93383432,Brookland | CUA,NE CORNER OF JOHN MCCORMICK ROAD NE AND MICHIGAN AVENUE NE
-76.93472262,38.90826751,Deanwood,SOUTH SIDE OF POLK STREET NE AT OLIVE STREET NE
-76.93517248,38.90856083,Deanwood,NORTH SIDE OF MINNESOTA AVENUE NE AT 48TH STREET NE
-77.02259809,38.91278133,Shaw | Howard Univ,NE CORNER OF R STREET NW AND 8TH STREET NW
-77.00343047,38.90728697,NoMa-Gallaudet U,EAST SIDE OF 2ND STREET NE AT INTERSECTION WITH N STREET NE 
-77.01741557,38.97510395,Takoma,NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW
-77.00249101,38.95265387,Fort Totten,NORTH SIDE OF GALLOWAY STREET NE
-77.07946249,38.94807937,Tenleytown | AU,NE CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW
-77.05853743,38.93598468,Cleveland Park ,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW
-76.99436828,38.93363034,Brookland | CUA,SW CORNER OF MICHIGAN AVENUE NE AND 9TH STREET NE
-77.05238323,38.92451004,Woodley Park Zoo | Adams Morgan,SE CORNER OF CONNECTICUT AVENUE NW AND 24TH STREET NW
-76.99607468,38.92047849,Rhode Island Ave,SOUTH SIDE OF RHODE ISLAND AVENUE NE AT RHODE ISLAND PLACE SHOPPING CENTER
-77.02596435,38.91679407,U St | African Amer Civil | War Mem | Cardozo,SW CORNER OF U STREET NW AND VERMONT AVENUE NW
-77.02168416,38.91450592,Shaw | Howard Univ,NE CORNER OF S STREET NW AND 7TH STREET NW
-77.0446177,38.91094578,Dupont Circle,SE CORNER OF 20TH STREET NW AND Q STREET NW
-77.03983385,38.90393046,Farragut North,NE CORNER OF L STREET NW AND CONNECTICUT AVENUE NW
-77.02214996,38.90543607,Mt Vernon Sq | 7th St | Convention Cen,SW CORNER OF 7TH STREET NW AND M STREET NW
-77.03213428,38.9008826,McPherson Sq,SW CORNER OF 14TH STREET NW AND I STREET NW
-77.04194689,38.90148104,Farragut West,NW CORNER OF 18TH STREET NW AND I STREET NW
-77.03934469,38.90125242,Farragut West,SE CORNER OF 17TH STREET NW AND I STREET NW
-77.05046475,38.90090289,Foggy Bottom | GWU,NW CORNER OF 23RD STREET NW AND I STREET NW
-76.94675067,38.89876265,Minnesota Ave,NW SIDE OF MINNESOTA AVENUE NE
-77.02681716,38.8981638,Metro Center,SE CORNER OF G STREET NW AND 11TH STREET NW
-77.00720207,38.89749219,Union Station,NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE
-77.01598703,38.89532182,Judiciary Sq,NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW
-77.02865801,38.89381031,Federal Triangle,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW
-77.02243966,38.89394417,Archives | Navy Mem,NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW
-77.02157749,38.8862549,LEnfant Plaza,SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW
-77.02845663,38.88725487,Smithsonian,SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW
